"","Finished","ProlificID","MusicLexicon","MUVA1_1","MUVA11_1","MUVA14_1","MUVA23_1","MUVA31_1","MUVA69_1","MUVA109_1","MUVA105_1","MUVA41_1","MUVA42_1","MUAR1_1","MUAR11_1","MUAR14_1","MUAR23_1","MUAR31_1","MUAR69_1","MUAR109_1","MUAR105_1","MUAR41_1","MUAR42_1","TAS1_1","TAS2_1","TAS3_1","TAS4_1","TAS5_1","TAS6_1","TAS7_1","TAS8_1","TAS9_1","TAS10_1","TAS11_1","TAS12_1","TAS13_1","TAS14_1","TAS15_1","TAS16_1","TAS17_1","TAS18_1","TAS19_1","TAS20_1","UserLanguage","Age","Gender","MusicExperience1","Yearsplayed","HoursListened","WC","posemo","negemo","ID"
"152",1,"59673a263b60f6000145a849","Sadness, Grief, happiness, nostalgia, annoyed",-1,-2,-2,3,-1,0,-3,3,-1,0,-2,-1,-2,3,-2,0,-3,3,-1,-3,3,4,1,3,3,3,2,3,1,3,1,1,1,4,4,3,3,3,1,3,"EN",6,1,1,2,2,11,54.55,9.09,146
"153",1,"5995dc275f49420001cafc9b","soul, spirit, joy, friendship, sociability, openness, fun, relaxation, comfort, sadness, scariness, ",1,-2,-2,3,-1,-2,-2,3,2,1,3,-1,2,2,-2,0,-2,1,0,-1,1,3,1,2,5,2,1,1,1,1,4,4,1,1,5,1,4,4,4,4,"EN",6,0,0,NA,4,13,30.77,38.46,147
"154",1,"59d0e40646447f00011f024f","Happiness, sadness, excitement, depression, surprise, nervousness, scared, alive, feeling in love, feeling hatred",1,0,-1,2,-2,-1,-3,3,-1,0,3,1,1,2,-1,2,-3,3,0,1,4,4,3,2,5,4,4,1,3,2,1,1,2,1,2,1,1,5,5,1,"EN",3,1,1,1,2,7,57.14,28.57,148
"155",1,"5969e7c6739fc30001e0af37","happiness joy sadness depression love excitement emotion ",-1,-1,-3,3,1,-2,-1,2,2,2,-1,-2,-1,3,2,-1,-1,3,1,0,2,2,4,4,5,2,3,2,4,5,4,3,3,1,4,2,2,5,4,4,"EN",4,0,1,1,2,5,40,40,149
"156",1,"59c10c7e5364260001dc47e6","Sadness, happiness, love, frustration, elation",2,0,-1,1,-1,-1,0,-1,-1,0,2,0,1,1,-1,-1,-1,-1,-1,0,2,2,1,4,4,4,2,2,2,4,2,2,2,2,2,3,2,4,2,2,"EN",6,1,0,NA,2,3,33.33,66.67,150
"157",1,"59e9fa7b24d7bf00012f1333","Sadness, happiness, regret, ",-1,-1,1,2,1,-1,-1,1,1,2,3,1,2,2,-2,0,-2,1,-1,-2,4,4,1,2,4,4,2,4,4,2,4,4,4,2,4,4,4,2,4,2,"EN",5,1,0,NA,3,15,13.33,73.33,151
"158",1,"596e7593b174180001756f23","Sorrow, anger, betrayal, jealousy, grief, sadness, guilt, fear, regret, rage, spite, pity, compassion, joy, happi",-1,-2,-1,3,-1,-2,-3,3,2,1,1,1,1,2,-3,-1,-3,2,-1,-2,1,4,2,3,1,2,2,1,4,5,3,1,4,2,2,2,1,4,2,3,"EN",7,1,1,3,3,5,40,60,152
"159",1,"57865c69160201000103f49a","Sadness. Joy. Happiness. Sorrow. Melancholy ",-2,-3,-3,3,-2,-1,-1,1,-1,-1,2,1,2,3,-1,0,-3,2,0,-2,2,4,1,2,3,2,2,4,2,5,2,1,2,3,5,2,4,5,3,1,"EN",4,0,1,3,4,8,25,75,153
"160",1,"59e2243bac0af70001b36648","anger, fear, happiness, doubt, joy, rage, sorrow, mourning, ",-1,-3,-2,3,-2,-2,-1,2,0,1,0,0,2,3,-1,1,-1,2,0,0,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,4,4,4,3,3,"EN",4,0,1,2,2,10,30,60,154
"161",1,"5892537355550f0001509c35","happiness, sadness, joy, anger, grief, worry, jealousy, relief, apathy, confu",-1,-3,-3,1,-3,-2,-3,1,3,-2,2,2,3,3,-2,0,-3,2,-2,-2,1,1,3,4,3,1,2,4,1,3,1,2,2,3,3,1,5,4,4,4,"EN",4,0,1,2,4,8,25,62.5,155
"162",1,"5691910aa3b94e000c6cd8fa","love, joy, sadness, pain, anger, heartache, longing, sorrow, ",-1,-2,-2,3,-2,-2,-2,3,-2,1,1,0,1,3,-3,1,-3,3,-2,-2,2,4,4,3,4,2,4,4,3,5,2,2,2,3,4,4,2,4,5,2,"EN",7,1,1,2,4,12,41.67,50,156
"163",1,"59948f4cc825cf0001d7dcda","Anger, love, hate, sadness, happiness, excitement, jealousy, disgust, comfort, contentment, bitterness, fe",-1,-3,-1,3,-1,-2,0,1,3,2,2,1,2,3,-1,1,-1,2,-1,-1,2,4,3,2,4,4,3,2,4,4,4,1,4,4,4,4,2,4,4,4,"EN",7,1,0,NA,2,5,40,60,157
"164",1,"59b4417b834a170001d60992","Hate Anger Passion Happiness Rage",-1,-2,0,3,0,-3,-1,2,1,0,3,1,1,3,0,1,-3,1,-3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"EN",5,0,1,2,3,8,50,37.5,158
"165",1,"59c90bea8439580001363d12","sad, calm, joy, nostalgia, happy, scared, uncomfortable, warm, ",-1,-3,-2,2,0,-1,0,2,2,1,3,-1,1,3,-1,1,-2,1,-1,-2,3,4,2,2,4,3,4,4,5,4,3,2,3,5,5,5,4,5,4,3,"EN",3,0,1,3,6,8,37.5,50,159
"166",1,"59b97d9dd793b40001459aec","Sad, happy, enlightened, optimistic, amazed, distraught, lost, depressed, ",-1,-3,-2,3,-1,-2,-2,3,1,1,1,-1,-3,2,-1,0,-2,2,0,-2,4,5,4,2,4,4,2,4,4,3,4,4,3,2,4,3,4,4,5,4,"EN",2,0,1,1,5,8,50,50,160
"167",1,"591d85434f577a0001755e9f","sad, happy, angry, excited, surprise, fear, trust, disgust, ",1,3,2,3,2,2,2,3,2,3,0,1,1,3,3,3,1,3,2,0,5,4,1,2,5,4,4,5,4,4,3,4,2,4,2,4,4,5,4,4,"EN",1,0,1,1,6,12,50,41.67,161
"168",1,"59e725b862637600014a7c80","Anger Happiness Love Sadness Loneliness Excitement Enjoyment Fear Tension Rejoice Heartfelt Thoug",0,-2,-1,2,-1,0,-2,3,1,2,3,0,3,3,-1,2,-2,2,0,1,4,4,1,2,3,4,3,1,4,4,4,1,4,2,5,2,5,5,4,4,"EN",3,1,0,NA,3,1,0,0,162
